raceId,year,round,circuitId,name,location,country,lat,lng
1,2009,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
2,2009,2,2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
3,2009,3,17,Shanghai International Circuit,Shanghai,China,31.3389,121.22
4,2009,4,3,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
5,2009,5,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
6,2009,6,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
7,2009,7,5,Istanbul Park,Istanbul,Turkey,40.9517,29.405
8,2009,8,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
9,2009,9,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
10,2009,10,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
11,2009,11,12,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667
12,2009,12,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
13,2009,13,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
14,2009,14,15,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864
15,2009,15,22,Suzuka Circuit,Suzuka,Japan,34.8431,136.541
16,2009,16,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
17,2009,17,24,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031
18,2008,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
19,2008,2,2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
20,2008,3,3,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
21,2008,4,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
22,2008,5,5,Istanbul Park,Istanbul,Turkey,40.9517,29.405
23,2008,6,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
24,2008,7,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
25,2008,8,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
26,2008,9,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
27,2008,10,10,Hockenheimring,Hockenheim,Germany,49.3278,8.56583
28,2008,11,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
29,2008,12,12,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667
30,2008,13,13,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139
31,2008,14,14,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111
32,2008,15,15,Marina Bay Street Circuit,Marina Bay,Singapore,1.2914,103.864
33,2008,16,16,Fuji Speedway,Oyama,Japan,35.3717,138.927
34,2008,17,17,Shanghai International Circuit,Shanghai,China,31.3389,121.22
35,2008,18,18,Autódromo José Carlos Pace,São Paulo,Brazil,-23.7036,-46.6997
36,2007,1,1,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968
37,2007,2,2,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738
38,2007,3,3,Bahrain International Circuit,Sakhir,Bahrain,26.0325,50.5106
39,2007,4,4,Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111
40,2007,5,6,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056
41,2007,6,7,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228
42,2007,7,19,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347
43,2007,8,8,Circuit de Nevers Magny-Cours,Magny Cours,France,46.8642,3.16361
44,2007,9,9,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694
45,2007,10,20,Nürburgring,Nürburg,Germany,50.3356,6.9475
46,2007,11,11,Hungaroring,Budapest,Hungary,47.5789,19.2486
